message,intent
ازيك,greeting
شكرا ليك,thank
عايز احدد المستوى بتاعى,take exam
ممكن اطور نفسى ازاى,course recommendation
عايز حد يشجعنى,peer grouping
عرفنى بيك ,about bot
ميرسى,thank
شكرا بجد,thank
شكرا,thank
هاى,greeting
اهلا بيك,greeting
اخبارك ايه,greeting
هالو,greeting
ممكن امتحن,take exam
طيب احدد مستوايا ازاى,take exam
انا فى المستوى الكام,take exam
مستوايا ايه,take exam
ممكن امتحن,take exam
ابعت الامتحان,take exam
دخلنى مع حد,peer grouping
عايز شريك دراسه,peer grouping
ساعدنى اذاكر,peer grouping
محتاج حد يساعدنى,peer grouping
محتاج تشجيع,peer grouping
محتاج مساعده فى الدراسه,peer grouping
ساعدنى الاقى شريك مذاكره,peer grouping
دخلنى فى جروب,peer grouping
ممكن حد يشاركنى,peer grouping
عايز ادخل جروب,peer grouping
دخلنى جروب,peer grouping
هاتلى حد يساعدنى,peer grouping
دخلنى مع حد يشجعنى على المذاكره,peer grouping
عايز اشارك حد فى نفس المستوى,peer grouping
هو فى ناس فى نفس المستوى معايا؟,peer grouping
عايز شريك ,peer grouping
عايز مساعده,peer grouping
محتاج خد يذاكر معايا,peer grouping
اقترح عليا زميل دراسه,peer grouping
ابعتلى جروب ادخل فيه,peer grouping
اقترح ناس تساعدنى,peer grouping
ساعدنى الاقى جروب يشجعنى,peer grouping
اقترحلى جروب ,peer grouping
اقترح عليا ناس فى نفس مستوايا,peer grouping
طيب لو عايز حد يشجعنى,peer grouping
هو ينفع اذاكر مع جروب؟,peer grouping
عايز حد يساعدنى فى المذاكرة,peer grouping
طيب لو عايز نبقى جروب كبير نشجع بعض؟,peer grouping
اقترحلى زميل يشجعنى,peer grouping
مش عايز اذاكر لوحدى,peer grouping
مش بعرف اذاكر من غير تشجيع,peer grouping
بس انا لازم يكون فى حد بيذاكر معايا,peer grouping
محتاج صحاب يذاكروا معايا,peer grouping
هو فى حد بيتابعنى فى المذاكره؟,peer grouping
طيب ما تقترح عليا حد يذاكر معايا,peer grouping
هاتلى جروب يساعدنى ,peer grouping
عايز اعرف انا مستوايا ايه,take exam
عايز اعرف انا فى المستوى الكام,take exam
احدد مستوايا ازاى؟,take exam
عايز امتحن عشان احدد انا فى المستوى الكام,take exam
عايز الامتحان,take exam
ابعتلى الامتحان عشان اعرف المستوى بتاعى,take exam
ابعتلى الامتحان,take exam
محتاج امتحن ,take exam
عايز امتحن امتحانك,take exam
ابعتلى امتحان تحديد المستوى,take exam
مستوايا ايه,take exam
احدد المستولا بتاعى ازاى,take exam
اعمل ايه عشان اعرف مستوايا,take exam
ابعتللى امتحانكوا ,take exam
هات الامتحان,take exam
طيب اعرف مستوايا ازاى,take exam
محتاج ايه عشان احدد المستوى بتاعى,take exam
فين الامتحان,take exam
بتحددوا مستوايا ازاى,take exam
فين امتحان تحديد المستوى,take exam
حدد مستوايا,take exam
ابعتلى اختبارات احدد بيها مستوايا,take exam
اختبر مستوايا,take exam
اختبرنى عشان تعرف مستوايا,take exam
ساعدنى احدد مستوايا,take exam
امتحنى,take exam
حددلى مستوايا,take exam
عايز امتحن,take exam
حددلى انا فين,take exam
ايه المستوى بتاعى,take exam
هبدأ من انهى مستوى,take exam
المفروض ابدأ بالمستوى الكام,take exam
هبدأ بالمستوى الكام,take exam
هبدأ اتعلم من الاول خالص؟,take exam
هبدأ من اول المستوى الكام,take exam
المفروض اعمل ايه بعد ما عرفت مسوايا,course recommendation
اذاكر منين,course recommendation
اعلى المستوى بتاعى ازاى,course recommendation
اذاكر ايه عشان اعلى مستوايا,course recommendation
ايه مصادر المذاكره الى ممكن تساعدنى,course recommendation
مصادر مذاكرة,course recommendation
ابعتلى مصدر اذكر منه,course recommendation
ابعتلى حاجه تساعدنى اعلى  مستوايا,course recommendation
ابعتلى كورسات,course recommendation
عايز كورسات تساعدنى,course recommendation
ابعتلى اللى هذاكر منه,course recommendation
اذاكر ازاى,course recommendation
ايه هى الكورسات المناسبه لمستوايا,course recommendation
محتاج كورس اذاكرة,course recommendation
ابدأ منين,course recommendation
ايه الخطوات الى اعملها عشان اعلى مستوايا,course recommendation
ابدأ ازاى,course recommendation
عايز احسن مستوايا,course recommendation
محتاج ابقى فى مستوى اعلى,course recommendation
عايز اقوى نفسى,course recommendation
عايزة ابقى احسن,course recommendation
محتاج مصادر للمذاكره,course recommendation
اذاكر ايه,course recommendation
اذاكر  من مكان معين؟,course recommendation
عندك اقتراح لكورس محدد؟,course recommendation
اعلى مستوايا ازاى,course recommendation
اذاكر من كتاب ايه؟,course recommendation
اطور نفسى ازاى,course recommendation
عايز ابقى كويس  اكتر,course recommendation
عايز اعلى بمستوايا عن كدا,course recommendation
كورسات,course recommendation
باصيلى حاجه اذاكر منها,course recommendation
ابعتلى كورس اذاكره,course recommendation
عايز ابقى اقوى,course recommendation
محتاج اطور من مستوايا,course recommendation
عرفنى بنفسك,about bot
عايز اتعرف عليك قبل ما نبدا,about bot
انت معمول من  امتى,about bot
انت بتعمل ايه,about bot
استفاد منك ازاى,about bot
هتفيدنى بأيه,about bot
ما تقولى معلومات عنك,about bot
عايز اعرفك الاول,about bot
مين عملك,about bot
انت هتساعدنى ازاى,about bot
ممكن نتعرف الاول,about bot
كلمنى عنك,about bot
انت مين,about bot
عرفنى بنفسك,about bot
 انت مين و هتساعدنى ازاى,about bot
اقترح عليا كورس مناسب,course recommendation
عايز مصادر مذاكرة تناسب مستوايا,course recommendation
عايز اذاكر حاجه مش صعبه عليا,course recommendation
عايز ابقى جامد فى اللغه,course recommendation
طيب ممكن تساعدنى ابقى احسن؟,course recommendation
ايه اللى لازم اعمله عشان اعرف مستوايا,take exam
هاتلى الامتحان,take exam
هو انت هتعرف مستوايا ازاى؟,take exam
ممكن تساعدنى احدد مستوايا؟,take exam
هتحدد مستوايا ازاى؟,take exam
مساء الخير,greeting
صباح الخير ,greeting
السلام عليكم,greeting
مرحبا,greeting
اسمك ايه؟,about bot
عايز احدد مستوايا,take exam
مستوايا ايه,take exam
مستوايا ايه؟,take exam
آهلآ,greeting
أهلاً,greeting
أهلاً .,greeting
أهلا لينا,greeting
أهلا وسهلا,greeting
أهلاا,greeting
الزيك اهلا ومرحبا بحضراتكم,greeting
السلام عليكم,greeting
السلام عليكم ورحمة الله وبركاته,greeting
الو,greeting
اهلا,greeting
اهلاً,greeting
